,0,1,2,3,4,5,6,7,8,9,10
Iarc,4.25,4.25,4.35,4.35,4.35,4.35,4.32,4.32,4.32,4.38,4.38
Ibase,6.06,-3.9,10.57,10.57,10.14,8.28,4.99,6.85,7.8,9.2,9.58
Ibias,148.0,139.0,365.0,330.0,288.0,193.0,-0.01,-0.01,-0.09,-0.09,-0.08
Iext,10.0,-10.0,-30.0,0.0,20.0,80.0,20.0,20.0,180.0,200.0,200.0
Varc,77.0,77.0,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7
Vbias,194,100,120,120,120,120,120,131,143,152,162
Vext,120,21,33,50,60,70,80,90,100,110,120
note,Electron current going out and pulling Vext up. Ions are hitting it..,Electrons now on plate.,DC fail on Vext. Vext is being pulled up to 33 volts,Increasing Vext only,Increasing Vext only,Increasing Vext only,Increasing Vext only,DC Fail on Vbias,Increasing Vext only. DC Fail on Vbias,Increasing Vext only.,Increasing Vext only.
pressure,8e-05,8.5e-05,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
time,201117_110439,201117_110639,201117_111448,201117_111638,201117_111717,201117_111757,201117_111918,201117_112006,201117_112118,201117_112319,201117_112405
C0,0.006783,0.004389,0.05325,0.05882,0.05498,0.04153,0.02445,0.02239,0.01877,0.0217,0.02022
C1,0.02936,-0.01208,0.1102,0.119,0.1131,0.08923,0.05547,0.05942,0.05669,0.06681,0.06621
C2,0.04557,0.003257,0.1454,0.155,0.1485,0.1218,0.08222,0.08559,0.08068,0.09421,0.09286
C3,0.05452,-0.07157,0.1359,0.1467,0.1496,0.1285,0.08613,0.09203,0.08765,0.1033,0.1019
C4,0.04982,0.00896,0.1478,0.1594,0.1531,0.1244,0.08206,0.08382,0.07844,0.09195,0.09064
C5,0.03152,0.00931,0.1107,0.1191,0.1135,0.09119,0.06005,0.0593,0.05407,0.06297,0.06145
C6,0.006079,-0.002827,0.03876,0.04348,0.04031,0.02947,0.01628,0.01516,0.01278,0.01472,0.01366
