,0,1,2,3
Iarc,1.4,1.38,1.59,1.59
Ibase,0.014,0.028,0.002,0.011
Ibias,2.8,2.2,3.9,4.0
Ie1,-1.62,-0.79,-3.11,-3.38
Ie2,0,0,0,0
Iext,0.4,0.3,0.6,0.6
Varc,72.5,72.5,72.5,72.5
Vbias,125,125,125,125
Ve1,-2700,-2700,-2700,-2700
Ve2,-250,-250,-250,-250
Vext,-9200,-9030,-9030,-9030
note,,,,
pressure,9e-05,6.5e-05,0.00013,0.00013
time,201123_151127,201123_151312,201123_151417,201123_151537
C0,-0.0002063,-7.214e-05,-0.0003787,-0.0003086
C1,-0.0001608,1.6e-06,-0.0003251,-7.244e-05
C2,0.006938,0.005032,0.003317,0.003216
C3,-0.0001247,1.586e-05,-0.0002702,-9.168e-05
C4,-0.0002054,-0.0001036,-0.000376,-0.0003297
