,0,1,2
Iarc,4.17,3.5,3.5
Ibase,-0.084,-0.084,-0.04
Ibias,29.4,23.6,21.6
Ie1,-0.5,-1.1,-0.7
Ie2,0,0,0
Iext,-28.0,-23.1,-20.7
Varc,80,80,80
Vbias,120,120,120
Ve1,-1353,-1353,-1353
Ve2,0,0,0
Vext,-7120,-7120,-6000
note,,,
pressure,0.00013,0.00013,0.00013
time,201124_141550,201124_141922,201124_142044
C0,-0.0001939,-0.000204,-0.0001494
C1,-0.0003503,-0.0004384,-0.0002531
C2,-0.0004612,-0.0005412,-0.0003048
C3,-0.0005133,-0.0005758,-0.0003109
C4,-0.0004233,-0.0004946,-0.000272
C5,-0.0002763,-0.0003376,-0.0001959
C6,-0.0001768,-0.0002033,-0.0001292
