,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Iarc,1.1,1.17,1.22,1.24,1.22,1.28,1.36,1.44,1.53,1.58,1.68,1.6,1.63,1.66,1.73,1.79,1.86,1.97,2.14,2.36,2.46,2.72,2.84,2.89,2.98,3.22,3.43,3.68,3.84,4.08,4.29,4.58,4.9,5.21,5.38,6.08
Ibase,-0.065,-0.176,0.064,1.013,4.34,6.1,9.1,11.05,12.73,13.99,15.36,-0.084,0.77,2.927,5.84,8.85,11.59,14.2,17.75,19.73,20.91,-1.483,-0.383,1.16,4.5,13.22,18.65,22.98,-2.435,-2.25,-0.44,9.01,17.04,22.8,24.81,26.55
Ibias,0.003,2.6,8.6,23.7,65.6,81.6,114.7,131.7,142.7,149.9,157.1,19.2,32.5,57.4,87.4,127.4,160.8,184.1,209.0,206.0,216.0,0.004,0.035,0.057,0.093,0.239,0.307,0.356,-0.002,0.002,0.062,0.202,0.359,0.451,0.486,0.548
Varc,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.9,70.8,70.7,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.5,70.4,70.4,73.4,73.4,70.2,70.1,70.1,70.1
Vbias,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Vpfs_tube,90.8,73.4,67.0,58.7,52.57,42.68,35.96,33.13,30.42,28.83,27.27,70.1,64.2,57.3,47.38,42.53,39.54,36.09,32.62,29.87,29.4,84.8,72.4,67.6,59.2,49.17,43.8,39.9,100.8,89.4,73.4,59.1,52.02,47.11,45.48,45.64
note,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating.,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. Any higher pressure and get breakdown,Tube floating. ,Tube floating. ,Tube floating. ,Tube floating. ,Tube floating. Now increasing current at max pressure.
pressure,5.5e-05,9e-05,0.00011,0.00013,0.00017,0.0003,0.0006,0.0009,0.0015,0.0023,0.0034,0.0001,0.00012,0.00015,0.00023,0.00036,0.0005,0.00075,0.0012,0.002,0.0024,8.5e-05,0.0001,0.00011,0.00015,0.00027,0.00042,0.00055,6e-06,8e-06,0.0001,0.00016,0.00023,0.00034,0.0004,0.0004
time,201201_113416,201201_113528,201201_113636,201201_113727,201201_113821,201201_113931,201201_114034,201201_114128,201201_114230,201201_114344,201201_114446,201201_115133,201201_115224,201201_115330,201201_115432,201201_115529,201201_115625,201201_115718,201201_115858,201201_120013,201201_120138,201201_120336,201201_120529,201201_120648,201201_120813,201201_121008,201201_121115,201201_121214,201201_121624,201201_121716,201201_121841,201201_121951,201201_122114,201201_122230,201201_122355,201201_122708
C0,0.0001403,3.716e-05,0.0004288,0.001739,0.007062,0.01219,0.0227,0.03135,0.03934,0.0464,0.05319,0.000508,0.001657,0.005483,0.01333,0.02402,0.03635,0.04949,0.07368,0.08188,0.08772,-0.0002761,0.001782,0.004266,0.01317,0.05304,0.09374,0.1239,-0.009862,-0.001481,0.00391,0.03479,0.08683,0.1441,0.1628,0.1842
