,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Iarc,1.05,1.07,1.09,1.13,1.23,1.35,2.11,2.16,2.24,2.34,2.5,3.23,3.48,3.65,3.88,4.05,4.37,4.59,4.9,5.21,5.44,6.12
Ibase,-0.377,0.704,7.1,10.59,14.97,19.43,-0.276,2.792,9.54,14.47,21.99,-3.018,0.905,10.07,18.32,23.88,-2.469,0.648,11.56,21.94,22.21,26.72
Ibias,0.026,0.073,0.182,0.232,0.289,0.339,0.084,0.142,0.283,0.373,0.491,0.033,0.11,0.352,0.503,0.664,0.084,0.16,0.428,0.715,0.731,0.873
Varc,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,69.8,69.9,69.8,69.8,70.8
Vbias,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
note,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.
pressure,7.5e-05,0.00014,0.0003,0.00046,0.00095,0.0023,0.0001,0.00013,0.0002,0.0003,0.0005,7e-05,0.0001,0.00016,0.00025,0.00034,8e-05,0.0001,0.00015,0.00024,0.0003,0.0003
time,201201_141556,201201_142053,201201_142157,201201_142240,201201_142349,201201_142453,201201_144956,201201_145038,201201_145119,201201_145216,201201_145310,201201_145516,201201_145607,201201_145648,201201_145725,201201_145819,201201_145941,201201_150025,201201_150108,201201_150147,201201_150233,201201_151854
C0,-0.0009617,0.0008984,0.01588,0.03077,0.05373,0.07907,0.0007506,0.00666,0.03346,0.06241,0.1166,-0.01746,0.003993,0.04331,0.105,0.1497,-0.001176,0.004269,0.06024,0.1659,0.1596,0.1924
C1,-0.002224,0.004171,0.05155,0.07873,0.1118,0.1427,0.004273,0.02679,0.08641,0.1321,0.1925,-0.01813,0.02011,0.1074,0.2003,0.2516,-0.01133,0.02192,0.1375,0.2654,0.2556,0.3257
C2,-0.002741,0.007114,0.07153,0.1057,0.1468,0.1844,0.004834,0.03916,0.1147,0.1705,0.2416,-0.0189,0.02944,0.1402,0.2547,0.3168,-0.01114,0.0332,0.1782,0.3304,0.3203,0.4153
C3,-0.002955,0.00928,0.07733,0.1124,0.1557,0.1943,0.005077,0.04004,0.1225,0.1817,0.255,-0.02354,0.02855,0.1497,0.2706,0.3353,-0.009134,0.03254,0.1903,0.3476,0.3396,0.4467
C4,-0.006988,0.007278,0.07307,0.1083,0.1512,0.1878,0.004076,0.0385,0.117,0.1755,0.2487,-0.03933,0.0273,0.1426,0.2617,0.3272,-0.01169,0.02923,0.1814,0.3372,0.3318,0.4474
C5,-0.003313,0.002797,0.05288,0.08279,0.1192,0.1488,-0.001512,0.02476,0.08691,0.1369,0.199,-0.03978,0.01595,0.1062,0.2083,0.2636,-0.02032,0.0177,0.1373,0.2708,0.2657,0.3682
C6,-0.0001026,0.0006243,0.01225,0.02418,0.04312,0.05861,0.0003078,0.005571,0.02655,0.04974,0.08325,-0.002413,0.003551,0.03443,0.08423,0.1168,-0.0006298,0.004039,0.04717,0.115,0.119,0.1718
