,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Iarc,1.13,1.14,1.18,1.24,1.92,2.02,2.22,2.45,2.71,4.22,4.49,4.99,5.21,6.43
Ibase,0.7,0.845,1.101,1.453,0.626,1.03,1.821,2.403,3.28,0.816,1.535,3.26,3.81,7.01
Ibias,0.009,0.011,0.015,0.019,0.012,0.018,0.028,0.035,0.044,0.023,0.033,0.056,0.063,0.092
Varc,69.6,69.6,69.5,69.2,69.2,69.2,69.2,69.2,69.2,69.2,68.6,68.4,68.4,68.4
Vbias,125,125,125,125,125,125,125,125,125,125,125,125,125,125
note,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.,Tube grounded.
pressure,8e-05,0.00011,0.0002,0.00044,8e-05,0.00012,0.0003,0.00055,0.001,8e-05,0.0001,0.00023,0.0003,0.00085
time,201201_153615,201201_153717,201201_153847,201201_154020,201201_154137,201201_154227,201201_154313,201201_154405,201201_154500,201201_154608,201201_154716,201201_154803,201201_154857,201201_154944
C0,0.0005771,0.0007627,0.00103,0.001511,0.0007781,0.001193,0.002143,0.003281,0.005256,0.001461,0.002312,0.005421,0.007087,0.02266
C1,0.002589,0.003349,0.005119,0.009402,0.003802,0.006369,0.01332,0.02137,0.03093,0.008701,0.01504,0.03144,0.03719,0.06978
C2,0.004919,0.00685,0.009915,0.01586,0.005614,0.01066,0.02113,0.02949,0.04023,0.01333,0.02226,0.04153,0.04811,0.08827
C3,0.008566,0.007019,0.009935,0.01454,0.006038,0.01047,0.02034,0.02674,0.03635,0.01322,0.01924,0.04001,0.04695,0.08393
C4,0.004182,0.005158,0.007184,0.01105,0.006225,0.008955,0.01623,0.0212,0.02877,0.01438,0.01952,0.03432,0.03959,0.06875
C5,0.001417,0.002134,0.003161,0.004918,0.00222,0.004135,0.008276,0.01159,0.01668,0.006211,0.01097,0.02212,0.0261,0.04768
C6,0.0004338,0.000532,0.0006768,0.0008951,0.0005817,0.000826,0.00133,0.00166,0.002251,0.001167,0.001688,0.003148,0.003751,0.00873
