,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Iarc,2.64,2.87,2.87,2.87,2.89,2.89,2.89,2.89,2.89,2.9,2.88,2.88,2.81,2.88,2.89,2.89,2.89,6.07,6.08,6.08
Ibase,6.99,7.73,10.62,12.39,13.22,13.55,13.72,13.7,13.44,13.51,13.32,13.32,13.37,13.53,13.64,13.86,13.9,26.35,19.79,25.98
Ibias,0.128,0.143,0.208,0.245,0.265,0.274,0.28,0.284,0.286,0.287,0.281,0.281,0.281,0.283,0.284,0.285,0.284,0.657,0.477,0.67
Itube,0.02,0.02,0.03,0.07,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.19,0.02,0.24
Varc,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1
Vbias,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Vtube,50,50,60,70,80,90,100,110,120,125,140,175,200,225,250,275,300,93,52,300
note,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,Tube referenced to PFS Vbias.,"Tube referenced to PFS Vbias. DC Fail. Can""t go lower voltage",Tube referenced to PFS Vbias. 
pressure,0.00024,0.00024,0.00024,0.00024,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00026,0.00026,0.00026,0.00026,0.00026,0.0003,0.0003,0.0003
time,201202_134916,201202_135251,201202_135424,201202_135514,201202_135631,201202_135713,201202_135808,201202_135854,201202_135935,201202_140014,201202_140321,201202_140410,201202_140450,201202_140531,201202_140607,201202_140819,201202_140853,201202_141555,201202_141717,201202_141833
C0,0.02138,0.02668,0.04075,0.05085,0.05566,0.0582,0.05979,0.06096,0.06107,0.0618,0.06024,0.05976,0.05986,0.06044,0.06092,0.06182,0.06189,0.192,0.1181,0.1916
C1,0.05701,0.06729,0.09354,0.1113,0.1194,0.1236,0.1262,0.1281,0.1284,0.1295,0.1269,0.1264,0.1268,0.128,0.129,0.1307,0.1309,0.3212,0.2243,0.3228
C2,0.0804,0.09372,0.1267,0.1483,0.1579,0.1628,0.1658,0.168,0.1683,0.1696,0.1662,0.1654,0.1659,0.1675,0.1689,0.1709,0.1712,0.4097,0.2918,0.4118
C3,0.0893,0.1041,0.1398,0.1625,0.1724,0.1774,0.1805,0.1828,0.1831,0.1844,0.1804,0.1794,0.18,0.1817,0.1831,0.185,0.1851,0.439,0.323,0.438
C4,0.09054,0.1051,0.1395,0.1623,0.172,0.1767,0.1795,0.1816,0.1817,0.1831,0.1792,0.1776,0.1777,0.1789,0.1798,0.1815,0.1814,0.4433,0.3253,0.435
C5,0.0705,0.08159,0.1079,0.1268,0.1351,0.1391,0.1415,0.1434,0.1434,0.1447,0.1414,0.1399,0.1396,0.1404,0.141,0.1422,0.1418,0.3663,0.269,0.3565
C6,0.01858,0.02322,0.03466,0.04348,0.04762,0.0497,0.05099,0.05199,0.05204,0.05276,0.05124,0.05062,0.05056,0.05093,0.05121,0.05185,0.05169,0.1711,0.1112,0.1679
