,0,1,2,3,4,5,6,7,8,9,10,11,12
pressure,0.0002,0.0002,0.00018,0.0002,0.0002,0.0002,0.00021,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
Vbias,100,100,100,100,100,100,100,100,100,100,100,100,100
Ibias,0.165,0.184,0.204,0.216,0.243,0.277,0.35,0.387,0.44,0.505,0.26,0.173,0.147
Varc,70,80,90,90,100,110,120,130,140,150,149,99,70
Iarc,2.12,2.27,2.4,2.51,2.7,2.9,3.1,3.28,3.5,3.76,2.1,1.9,2.0
Ibase,6.46,6.83,7.02,7.61,8.15,9.06,13.26,14.52,17.62,20.6,7.46,4.2,5.43
note,,,,,,,,,,,,,
time,201209_153427,201209_153515,201209_153613,201209_153713,201209_153757,201209_153859,201209_153958,201209_154118,201209_154154,201209_154247,201209_154557,201209_154755,201209_154929
C0,0.01681,0.02129,0.02488,0.02803,0.03369,0.0408,0.05988,0.06733,0.08163,0.09745,0.03578,0.01679,0.01513
C1,0.04847,0.0562,0.06221,0.06703,0.07534,0.08752,0.11,0.1229,0.1454,0.1692,0.08036,0.04463,0.04562
C2,0.06783,0.07767,0.08519,0.09092,0.1034,0.1187,0.144,0.1583,0.1849,0.215,0.1104,0.06582,0.0653
C3,0.0683,0.07206,0.07129,0.0781,0.07937,0.0843,0.1034,0.1074,0.1228,0.1391,0.05964,0.05036,0.06719
C4,0.07886,0.08812,0.09609,0.1016,0.113,0.1279,0.1529,0.1677,0.1928,0.2215,0.1155,0.07425,0.07684
C5,0.05046,0.0594,0.06711,0.07194,0.08193,0.09484,0.1156,0.128,0.1493,0.1734,0.08623,0.05148,0.04953
C6,0.01218,0.015,0.0175,0.02043,0.02594,0.03318,0.04629,0.0539,0.06774,0.08375,0.02919,0.01058,0.01197
